"Symbol","Scientific Name with Author","GSAT Common Name","State"
"ABTH","Abutilon theophrasti Medik.","VELVETLEAF","Alabama"
"ACHI","Acanthospermum hispidum DC.","VELVETLEAF","Alabama"
"ACMI2","Achillea millefolium L.","Common yarrow","Alabama"
"ACRU","Acer rubrum L.","RED MAPLE","Alabama"
"ACSA2","Acer saccharinum L.","SILVER MAPLE","Alabama"
"AESCH","Aeschynomene L.","Common yarrow","Alabama"
"AGGI","Agrostemma githago L.","CORNCOCKLE","Alabama"
"AGGI2","Agrostis gigantea Roth","REDTOP","Alabama"
"ALVI","Allium vineale L.","WILD GARLIC","Alabama"
"AMAL","Amaranthus albus L.","prostrate pigweed","Alabama"
"ABAB","Abutilon abutiloides (Jacq.) Garcke ex Hochr.","shrubby Indianmallow","Arizona"
"ABAN","Abronia angustifolia Greene","purple sand-verbena","Arizona"
"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","white fir","Arizona"
"ABIES","Abies Mill.","Abies","Arizona"
"ABIN","Abutilon incanum (Link) Sweet","Pringle Indianmallow","Arizona"
"ABIN","Abutilon incanum (Link) Sweet","orange Indianmallow","Arizona"
"ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Arizona"
"ABNA","Abronia nana S. Watson","dwarf sand-verbena","Arizona"
"ABPA","Abutilon palmeri A. Gray","Palmer Indianmallow","Arizona"
"ABPA3","Abutilon parvulum A. Gray","dwarf Indianmallow","Arizona"
"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","white fir","Idaho"
"ABGR","Abies grandis (Douglas ex D. Don) Lindl.","grand fir","Idaho"
"ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Idaho"
"ACCO4","Aconitum columbianum Nutt.","Columbian monkshood","Idaho"
"ACGI","Acer ginnala Maxim.","Amur maple","Idaho"
"ACGL","Acer glabrum Torr.","Rocky Mountain maple","Idaho"
"ACGLD4","Acer glabrum Torr. var. douglasii (Hook.) Dippel","Douglas maple","Idaho"
"ACGR3","Acer grandidentatum Nutt.","bigtooth maple","Idaho"
"ACGRG","Acer grandidentatum Nutt. var. grandidentatum","bigtooth maple","Idaho"
"ACHNA","Achnatherum P. Beauv.","needlegrass","Idaho"
"ACAN11","Acaciella angustissima (Mill.) Britton & Rose","prairie acacia","Kansas"
"ACHIL","Achillea L.","yarrow","Kansas"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS","Kansas"
"ACMI2","Achillea millefolium L.","Common yarrow","Kansas"
"ACMIO","Achillea millefolium L. var. occidentalis DC.","WESTERN YARROW","Kansas"
"ACNE2","Acer negundo L.","BOXELDER","Kansas"
"ACSA2","Acer saccharinum L.","SILVER MAPLE","Kansas"
"AECY","Aegilops cylindrica Host","JOINTED GOATGRASS","Kansas"
"AEGL","Aesculus glabra Willd.","Ohio buckeye","Kansas"
"AGALA","Ageratina altissima (L.) R.M. King & H. Rob. var. altissima","WHITE SNAKEROOT","Kansas"
"ABELM","Abelmoschus Medik.","okra","Louisiana"
"ABES","Abelmoschus esculentus (L.) Moench","okra","Louisiana"
"ABHU","Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray","mauve","Louisiana"
"ABTH","Abutilon theophrasti Medik.","VELVETLEAF","Louisiana"
"ABUTI","Abutilon Mill.","Indian mallow","Louisiana"
"ACACI","Acacia Mill.","Acacia","Louisiana"
"ACAL2","Acalypha alopecuroidea Jacq.","foxtail copperleaf","Louisiana"
"ACALY","Acalypha L.","copperleaf","Louisiana"
"ACAN11","Acaciella angustissima (Mill.) Britton & Rose","prairie acacia","Louisiana"
"ACANH2","Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L.","hirta","Louisiana"
"AGCR","Agropyron cristatum (L.) Gaertn.","CRESTED WHEATGRASS","Minnesota"
"AGGI2","Agrostis gigantea Roth","REDTOP","Minnesota"
"ANGE","Andropogon gerardii Vitman","BIG BLUESTEM","Minnesota"
"BOCU","Bouteloua curtipendula (Michx.) Torr.","SIDEOATS GRAMA","Minnesota"
"BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","BUFFALOGRASS","Minnesota"
"BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","BLUE GRAMA","Minnesota"
"BRCI2","Bromus ciliatus L.","fringed brome","Minnesota"
"BRIN2","Bromus inermis Leyss.","SMOOTH BROME","Minnesota"
"BRTE","Bromus tectorum L.","CHEATGRASS","Minnesota"
"CACA4","Calamagrostis canadensis (Michx.) P. Beauv.","bluejoint","Minnesota"
"ABFR2","Abronia fragrans Nutt. ex Hook.","SNOWBALL SANDVERBENA","Missouri"
"ABTH","Abutilon theophrasti Medik.","VELVETLEAF","Missouri"
"ACAN11","Acaciella angustissima (Mill.) Britton & Rose","prairie wattle","Missouri"
"ACCA4","Acorus calamus L.","SWEETFLAG","Missouri"
"ACGR2","Acalypha gracilens A. Gray","SLENDER COPERLEAF","Missouri"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS","Missouri"
"ACMI2","Achillea millefolium L.","yarrow","Missouri"
"ACNE2","Acer negundo L.","BOXELDER","Missouri"
"ACOS","Acalypha ostryifolia Riddell","THREE-SEEDED MERCURY","Missouri"
